date,promo_type,discount
2022-02-25,bundle,7
2022-03-01,percent,18
2022-03-15,bundle,9
2022-03-22,percent,27
2022-04-08,flash_sale,25
2022-04-18,percent,10
2022-05-09,percent,29
2022-05-14,percent,19
2022-05-18,bogo,19
2022-05-25,bogo,17
2022-05-30,percent,26
2022-06-15,bogo,19
2022-06-17,bundle,20
2022-06-20,percent,7
2022-06-25,bogo,8
2022-07-11,bundle,20
2022-07-27,bundle,5
2022-07-29,bogo,20
2022-08-25,flash_sale,24
2022-09-10,percent,16
2022-09-15,percent,24
2022-10-22,percent,21
2022-11-01,bundle,16
2022-11-06,percent,15
2022-11-08,flash_sale,23
2022-11-27,percent,16
2022-11-29,percent,20
2022-12-10,bogo,6
2023-01-06,percent,28
2023-01-20,bundle,8
2023-02-07,bundle,11
2023-02-25,percent,18
2023-02-26,flash_sale,27
2023-03-04,flash_sale,7
2023-04-02,bogo,12
2023-04-10,bogo,20
2023-04-21,bogo,5
2023-05-13,bogo,7
2023-05-24,bogo,12
2023-06-19,bundle,10
2023-08-01,percent,14
2023-08-12,bogo,12
2023-08-19,flash_sale,6
2023-10-05,bundle,16
2023-10-14,percent,12
2023-12-03,bundle,20
2023-12-05,flash_sale,19
2023-12-07,flash_sale,21
2023-12-09,percent,23
2023-12-12,percent,24
2023-12-29,bogo,8
2023-12-30,bogo,15
2024-01-05,flash_sale,17
2024-01-16,flash_sale,13
2024-01-17,percent,17
2024-02-17,flash_sale,6
2024-03-14,flash_sale,22
2024-03-18,percent,25
2024-03-25,flash_sale,25
2024-03-31,percent,16
2024-04-02,bundle,9
2024-04-20,bogo,6
2024-05-06,bogo,15
2024-05-08,bundle,15
2024-05-25,bundle,19
2024-05-31,bundle,18
2024-06-15,bogo,14
2024-07-01,bundle,17
2024-07-17,bundle,14
2024-08-25,bundle,11
2024-09-10,flash_sale,19
2024-09-20,bogo,13
2024-09-21,flash_sale,9
2024-10-08,percent,16
2024-10-14,flash_sale,12
2024-10-26,percent,23
2024-12-14,bundle,22
2024-12-17,bundle,9
