date,competitor_name,competitor_price,market_share,promotion_flag
2024-01-01,CompA,49.99,0.25,0
2024-01-02,CompA,49.99,0.25,0
2024-01-03,CompA,47.99,0.27,1
2024-01-04,CompA,47.99,0.28,1
2024-01-05,CompA,49.99,0.25,0
2024-01-06,CompA,49.99,0.25,0
2024-01-07,CompA,49.99,0.25,0
2024-01-08,CompB,52.99,0.18,0
2024-01-09,CompB,52.99,0.18,0
2024-01-10,CompB,49.99,0.20,1
2024-01-11,CompA,49.99,0.25,0
2024-01-12,CompA,49.99,0.25,0
2024-01-13,CompA,49.99,0.25,0
2024-01-14,CompA,49.99,0.25,0
2024-01-15,CompA,49.99,0.25,0
