date,tv_spend,digital_spend,social_spend,print_spend,radio_spend,outdoor_spend
2024-01-01,5000,2000,1000,500,300,200
2024-01-02,4800,2200,1100,480,280,190
2024-01-03,5200,2400,1200,520,320,210
2024-01-04,5500,2600,1300,550,350,220
2024-01-05,6000,2800,1500,600,400,250
2024-01-06,6500,3000,1800,650,420,280
2024-01-07,6200,2900,1700,620,400,270
2024-01-08,5100,2500,1250,510,320,210
2024-01-09,4900,2300,1150,490,300,200
2024-01-10,5300,2700,1350,530,340,230
2024-01-11,5400,2750,1400,540,350,235
2024-01-12,5800,2900,1600,580,380,250
2024-01-13,6200,3200,1900,620,400,280
2024-01-14,6000,3000,1750,600,390,270
2024-01-15,5200,2600,1300,520,330,220
